,completion_rate,completed,missing,question
Tags,0.0,0,2614,Tags
Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,0.1912777352716144,5,2609,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1
Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3),0.1912777352716144,5,2609,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?,0.26778882938026016,7,2607,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?
Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),20.428462127008416,534,2080,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),38.82938026013772,1015,1599,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),45.52410099464422,1190,1424,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),53.060443764345834,1387,1227,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),54.05508798775822,1413,1201,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Which of these factors would most motivate you to apply for a position at the organisation?,70.69625095638867,1848,766,Which of these factors would most motivate you to apply for a position at the organisation?
"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",70.69625095638867,1848,766,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?"
Which of these statements best describes your current perception of the organisation as an employer?,70.734506503443,1849,765,Which of these statements best describes your current perception of the organisation as an employer?
What is your gender?,90.78041315990819,2373,241,What is your gender?
Which of the following best describes the main subject that you are studying?,90.81866870696251,2374,240,Which of the following best describes the main subject that you are studying?
Please indicate your nationality.,90.81866870696251,2374,240,Please indicate your nationality.
What is your current year of study as of 2025?,90.81866870696251,2374,240,What is your current year of study as of 2025?
What will be your highest qualification when you graduate?,90.81866870696251,2374,240,What will be your highest qualification when you graduate?
Which higher education institution do you or did you study at?,90.85692425401683,2375,239,Which higher education institution do you or did you study at?
