group,question
Learn More (Pick 3),Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)
Learn More (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1
Motivation Factors,Which of these factors would most motivate you to apply for a position at the organisation?
Motivation Factors,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?
Demographics,Which higher education institution do you or did you study at?
Demographics,What is your current year of study as of 2025?
Demographics,What will be your highest qualification when you graduate?
Demographics,Which of the following best describes the main subject that you are studying?
Demographics,Please indicate your nationality.
Demographics,What is your gender?
Perception/Rating,Which of these statements best describes your current perception of the organisation as an employer?
Perception/Rating,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?"
Metadata,Response ID
Metadata,Time Started
Metadata,Date Submitted
Metadata,Status
Metadata,SessionID
Metadata,IP Address
Metadata,Longitude
Metadata,Latitude
Other,Language
Other,User Agent
Other,Tags
Other,Country
Other,City
Other,State/Region
Other,Postal
