question,unique_responses,total_responses,diversity_score,group
User Agent,311,2614,11.897475133894414,Other
Postal,47,2348,1.7980107115531754,Other
Which higher education institution do you or did you study at?,25,2375,0.9563886763580718,Demographics
Which of the following best describes the main subject that you are studying?,20,2374,0.7651109410864576,Demographics
City,18,2351,0.6885998469778117,Other
Country,11,2598,0.42081101759755163,Other
"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",10,1848,0.3825554705432288,Perception/Rating
State/Region,8,2351,0.306044376434583,Other
Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?,7,7,0.26778882938026016,Motivation Factors
Which of these factors would most motivate you to apply for a position at the organisation?,7,1848,0.26778882938026016,Motivation Factors
Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,5,5,0.1912777352716144,Learn More (Pick 3)
What is your current year of study as of 2025?,5,2374,0.1912777352716144,Demographics
What will be your highest qualification when you graduate?,5,2374,0.1912777352716144,Demographics
Which of these statements best describes your current perception of the organisation as an employer?,4,1849,0.1530221882172915,Perception/Rating
What is your gender?,3,2373,0.11476664116296864,Demographics
Please indicate your nationality.,3,2374,0.11476664116296864,Demographics
Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,1387,0.03825554705432287,Learn More (Pick 3)
Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,1190,0.03825554705432287,Learn More (Pick 3)
Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,1015,0.03825554705432287,Learn More (Pick 3)
Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,534,0.03825554705432287,Learn More (Pick 3)
Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,5,0.03825554705432287,Learn More (Pick 3)
Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),1,1413,0.03825554705432287,Learn More (Pick 3)
Language,1,2614,0.03825554705432287,Other
Tags,0,0,0.0,Other
